index,Period,Data_value,Series_title_2,id
69,2004.03,16307.6,Credit,1
70,2005.03,18481.2,Credit,2
71,2006.03,20210.6,Credit,3
72,2007.03,22272.1,Credit,4
73,2008.03,23982.4,Credit,5
74,2009.03,24381.1,Credit,6
75,2010.03,24135.6,Credit,7
76,2011.03,24851.6,Credit,8
77,2012.03,26411.2,Credit,9
78,2013.03,27504.1,Credit,10
79,2014.03,29840.0,Credit,11
80,2015.03,31607.8,Credit,12
81,2016.03,34681.6,Credit,13
82,2017.03,39191.6,Credit,14
83,2018.03,46065.7,Credit,15
84,2019.03,50302.3,Credit,16
85,2020.03,52670.7,Credit,17
86,2021.03,55518.7,Credit,18
87,2022.03,61696.6,Credit,19
91,2004.03,20571.1,Debit,20
92,2005.03,22274.9,Debit,21
93,2006.03,24093.1,Debit,22
94,2007.03,26344.6,Debit,23
95,2008.03,28686.8,Debit,24
96,2009.03,30094.4,Debit,25
97,2010.03,31841.8,Debit,26
98,2011.03,33773.3,Debit,27
99,2012.03,36203.5,Debit,28
100,2013.03,37792.0,Debit,29
101,2014.03,39407.1,Debit,30
102,2015.03,40712.5,Debit,31
103,2016.03,41807.0,Debit,32
104,2017.03,42142.5,Debit,33
105,2018.03,41618.6,Debit,34
106,2019.03,41143.5,Debit,35
107,2020.03,41298.0,Debit,36
108,2021.03,34397.4,Debit,37
109,2022.03,33128.3,Debit,38
179,2004.03,981.4,Services,39
180,2005.03,1129.4,Services,40
181,2006.03,1269.5,Services,41
182,2007.03,1412.3,Services,42
183,2008.03,1563.6,Services,43
184,2009.03,1671.6,Services,44
185,2010.03,1762.2,Services,45
186,2011.03,1846.8,Services,46
187,2012.03,1975.0,Services,47
188,2013.03,2096.4,Services,48
189,2014.03,2358.2,Services,49
190,2015.03,2591.7,Services,50
191,2016.03,2796.7,Services,51
192,2017.03,3023.5,Services,52
193,2018.03,3304.7,Services,53
194,2019.03,3525.6,Services,54
195,2020.03,3630.0,Services,55
196,2021.03,3465.2,Services,56
197,2022.03,3554.4,Services,57
355,2004.03,175164639.0,Credit,58
356,2005.03,195790533.0,Credit,59
357,2006.03,210968205.0,Credit,60
358,2007.03,225913337.0,Credit,61
359,2008.03,240051535.0,Credit,62
360,2009.03,245016363.0,Credit,63
361,2010.03,251415302.0,Credit,64
362,2011.03,256962888.0,Credit,65
363,2012.03,271075612.0,Credit,66
364,2013.03,289001419.0,Credit,67
365,2014.03,323503974.0,Credit,68
366,2015.03,363251739.0,Credit,69
367,2016.03,430282120.0,Credit,70
368,2017.03,543191000.0,Credit,71
369,2018.03,693853089.0,Credit,72
370,2019.03,793562791.0,Credit,73
371,2020.03,852565339.0,Credit,74
372,2021.03,967199480.0,Credit,75
373,2022.03,1055538960.0,Credit,76
377,2004.03,509814572.0,Debit,77
378,2005.03,558839222.0,Debit,78
379,2006.03,610772760.0,Debit,79
380,2007.03,666142647.0,Debit,80
381,2008.03,734739528.0,Debit,81
382,2009.03,782427695.0,Debit,82
383,2010.03,840540083.0,Debit,83
384,2011.03,894644906.0,Debit,84
385,2012.03,944043462.0,Debit,85
386,2013.03,983374794.0,Debit,86
387,2014.03,1026274143.0,Debit,87
388,2015.03,1063773918.0,Debit,88
389,2016.03,1083708547.0,Debit,89
390,2017.03,1084268722.0,Debit,90
391,2018.03,1060412526.0,Debit,91
392,2019.03,1041887440.0,Debit,92
393,2020.03,1021875875.0,Debit,93
394,2021.03,765492859.0,Debit,94
395,2022.03,709745173.0,Debit,95
2111,2002.1,1204.4,Credit,96
2112,2002.11,1291.3,Credit,97
2113,2002.12,1587.8,Credit,98
2114,2003.01,1275.4,Credit,99
2115,2003.02,1246.5,Credit,100
2116,2003.03,1326.0,Credit,101
2117,2003.04,1215.2,Credit,102
2118,2003.05,1236.9,Credit,103
2119,2003.06,1144.4,Credit,104
2120,2003.07,1270.9,Credit,105
2121,2003.08,1243.0,Credit,106
2122,2003.09,1238.7,Credit,107
2123,2003.1,1334.8,Credit,108
2124,2003.11,1429.8,Credit,109
